nombre_show,artista
Monólogos en la Chocita del Loro Carabanchel,Archie Bezos
Monólogos en la Chocita del Loro Carabanchel, Dani Alés
Monólogos en la Chocita del Loro Carabanchel, Raúl Navareño
Monólogos en la Chocita del Loro Carabanchel, Danny Boy-Rivera 
Monólogos en la Chocita del Loro Carabanchel, Richard Salamanca
Monólogos en la Chocita del Loro Carabanchel, Alex Salaberri
Monólogos en la Chocita del Loro Carabanchel, David Cepo
Ladys Night en Beer Station,Nayra Pérez
Los Monólogos de El Golfo Comedy Club en Madrid,varios
El Dojo Comedia,rotativo
Chic  Comedy - Monólogos,rotativo
Noches de Comedia - Monólogos en Madrid,varios
Los Monólogos del Teatro de las Aguas,varios
Punch Comedy English.- Stand up Comedy in English,rotativo
Comedy Rally,rotativo
"Comedy Nights, monólogos en Beer Station",varios
Probando material,rotativo
Stand Up en el momento,rotativo
Jaja Party - Presentado por Javi Durán,rotativo
La Hora y Media de El Club de la Comedia Madrid,rotativo
"No cruces los brazos, David Cepo",David Cepo
"Esto no es un show, con Galder Varas en Madrid",Galder Varas
"Buenrollistas - Víctor Parrado, en Madrid",Victor Parrado
Intermitente - Carlos Martínez,Carlos Martínez
"Aguántame el cubata, que me da la risa - Juan Aroca",Juan Aroca
Oye Siri. Dime Joan,Joan Natzari
Solo para Parejas - Los mejores monólogos de Madrid,Alex Salaberri
Los Monólogos de Estupenda Café Bar,varios
Ultrashow - Miguel Noguera en Madrid,Miguel Noguera
"Karim - Sólo para adultos, en Madrid",Karim
"Hij@s, el club de los malos padres",Andres Torres
Lago - Comedy Club,Miguel Lago
Imbécil - Alex ODogherty,Alex O’Dogherty
"Miss Tupper Sex, en Madrid",Pilar Ordóñez
Los 30 son los nuevos. ¡Vete a la mierda!,Jorge Santos
El Micro de las Aguas. Open Mic,rotativo
Asaari Bibang. Humor Negra.,Asaari Bibang
"David Guapo #Quenonosfrunjanlafiesta, en Madrid",David Guapo
Hardcore - Patricia Galván,Patricia Galván
Monólogos de humor - Chocita del Loro Av. Brasil,Miguel Iribar
Monólogos de humor - Chocita del Loro Av. Brasil, Quique Matilla
Monólogos de humor - Chocita del Loro Av. Brasil, Dani Alés
Monólogos de humor - Chocita del Loro Av. Brasil, Fernando García-Torres
Monólogos de humor - Chocita del Loro Av. Brasil, Raúl Navareño
Monólogos de humor - Chocita del Loro Av. Brasil, Fran El Chavo
Monólogos de humor - Chocita del Loro Av. Brasil, Danny Boy-Rivera 
Monólogos de humor - Chocita del Loro Av. Brasil, Eva y qué
Monólogos de humor - Chocita del Loro Av. Brasil, Alex Salaberri
Monólogos de humor - Chocita del Loro Av. Brasil, Álvaro Casares
Monólogos de humor - Chocita del Loro Av. Brasil, David Cepo
Monólogos de humor - Chocita del Loro Av. Brasil, Archie Bezos
Arde Murcia,Pedro Ángel Roca
Arde Murcia,Pedro Ángel Roca
Es mi palabra contra la mía - Luís Piedrahita,Luís Piedrahita
"Dani Alés - Tabú, un monólogo inadecuado",Dani Alés
"Tinder Sorpresa - Andreu Casanova, en Madrid",Andreu Casanova
La España Vaciada,Juanjo Albiñana
La España Vaciada, Roberto Gontán
La España Vaciada, Jesús Arenas
La España Vaciada, Fran Pati
"Stand Up Comedy, In English",Mike Damanti
Comedia Subterránea. Open Mic,rotativo
Álex Clavero - La Nueva Normalidad,Alex Clavero
Alex Salaberri. Qué le pasa doctor.,Alex Salaberri
Diego Arjona - ¡Aquí no hay playa!,Diego Arjona
"Carlos Librado, NENE",Carlos Librado Nene
"La Cueva Comedy  Club, Open Mic!!!",rotativo
Open Beer - Open Mic de stand-up comedy,rotativo
"YO NUNCA SHOW,  de Raúl Massana",Raúl Massana
Javi Durán - Fracashow en Beer Station,Javi Durán
Un Monólogo de Puta Madre - Juan Morales,Juan Morales
Predicadores de la impro,David Carrascosa
Predicadores de la impro, Dani Jota
Predicadores de la impro, Mercuria Teatro
Laura del Val- De Burgos también se sale,Laura del Val
"Alicia Lobo - Hola, no me líes",Alicia Lobo
Mangos y Papayas: Ivan Perlaza & Javi Bueno,Javi Bueno
Mangos y Papayas: Ivan Perlaza & Javi Bueno, Iván Perlaza
Goloso de Micro.,Diego Daño
Goloso de Micro., Eva Soriano
Goloso de Micro., Fran Pati
Goloso de Micro., Nacho García
Yo maté al Rey León - Dani Delacámara,Dani delacámara
Alex Gozalo. Tiempos confusos.,Alex Gozalo
De Albacete al fin del mundo - Rubén Faura,Rubén Faura
Manu Partida. Gafe.,Manu Partida
Rita Rojo.- ¡¿A quién no le va a gustar?!,Rita Rojo
"Isabel Rey - Diva de barrio, un show de comedia",Isabel Rey
Fran Pati: Moder-No,Fran Pati
"Nene, ¡Que me jodan! , un monólogo muy jodido",Nene
Felipe Mateos. El odio viene en frascos pequeños.,Felipe Mateos
Tiquismiquis - Mikel Bermejo,Mikel Bermejo
