fecha,nota_total,grupo_de,calidad_del_espectáculo,puesta_en_escena,interpretación_artística
10/08/2023,10,en pareja,10,10,10
20/07/2023,10,en familia,10,10,10
13/08/2023,10,en pareja,10,10,10
29/07/2023,10,en pareja,10,10,10
16/07/2023,10,en pareja,10,10,10
30/07/2023,10,con amigos,10,10,10
07/08/2023,10,en familia,10,10,10
09/08/2023,10,en pareja,10,10,10
26/07/2023,10,en pareja,10,10,10
31/07/2023,10,en pareja,10,10,10
10/08/2023,10,en pareja,10,10,10
20/07/2023,10,en familia,10,10,10
13/08/2023,10,en pareja,10,10,10
29/07/2023,10,en pareja,10,10,10
16/07/2023,10,en pareja,10,10,10
30/07/2023,10,con amigos,10,10,10
07/08/2023,10,en familia,10,10,10
09/08/2023,10,en pareja,10,10,10
26/07/2023,10,en pareja,10,10,10
31/07/2023,10,en pareja,10,10,10
22/06/2023,9.1,en pareja,10,7.5,10
07/06/2023,10,en familia,10,10,10
14/06/2023,10,en pareja,10,10,10
05/06/2023,10,con amigos,10,10,10
23/05/2023,10,en pareja,10,10,10
07/07/2023,10,solo,10,10,10
26/05/2023,10,con amigos,10,10,10
25/06/2023,10,con amigos,10,10,10
26/06/2023,10,con amigos,10,10,10
09/06/2023,9.1,solo,7.5,10,10
22/05/2023,10,en pareja,10,10,10
13/03/2023,10,en pareja,10,10,10
22/04/2023,10,solo,10,10,10
30/03/2023,10,en pareja,10,10,10
02/03/2023,10,con amigos,10,10,10
05/04/2023,10,en pareja,10,10,10
24/03/2023,10,en familia,10,10,10
24/02/2023,10,con amigos,10,10,10
27/03/2023,10,en familia,10,10,10
16/05/2023,10,con amigos,10,10,10
13/03/2023,10,con amigos,10,10,10
20/04/2023,10,con amigos,10,10,10
03/04/2023,10,con amigos,10,10,10
02/04/2023,10,en pareja,10,10,10
29/03/2023,10,en pareja,10,10,10
12/03/2023,10,con amigos,10,10,10
27/02/2023,10,en familia,10,10,10
11/03/2023,10,en pareja,10,10,10
12/03/2023,10,en pareja,10,10,10
06/05/2023,10,con amigos,10,10,10
08/04/2023,9.1,en pareja,10,7.5,10
01/05/2023,10,en pareja,10,10,10
03/04/2023,10,en pareja,10,10,10
18/05/2023,10,con amigos,10,10,10
27/04/2023,10,en pareja,10,10,10
06/03/2023,10,en pareja,10,10,10
24/04/2023,10,en pareja,10,10,10
03/04/2023,10,con amigos,10,10,10
06/05/2023,10,con amigos,10,10,10
28/03/2023,10,en familia,10,10,10
13/03/2023,10,en pareja,10,10,10
03/04/2023,10,solo,10,10,10
05/03/2023,9.1,en pareja,7.5,10,10
09/03/2023,10,solo,10,10,10
13/03/2023,9.1,en pareja,10,7.5,10
30/03/2023,10,en pareja,10,10,10
07/03/2023,10,en pareja,10,10,10
22/02/2023,10,en pareja,10,10,10
19/02/2023,10,en pareja,10,10,10
23/01/2023,10,en pareja,10,10,10
13/09/2022,9.1,en pareja,7.5,10,10
20/08/2022,9.1,en pareja,7.5,10,10
23/01/2023,10,en familia,10,10,10
18/01/2023,10,con amigos,10,10,10
06/01/2023,10,en familia,10,10,10
16/01/2023,10,en pareja,10,10,10
26/09/2022,10,con amigos,10,10,10
31/01/2023,9.1,solo,10,7.5,10
13/11/2022,10,en pareja,10,10,10
16/02/2023,10,en pareja,10,10,10
04/09/2022,10,en pareja,10,10,10
28/11/2022,10,solo,10,10,10
14/09/2022,10,en pareja,10,10,10
03/12/2022,10,con amigos,10,10,10
15/11/2022,10,con amigos,10,10,10
07/11/2022,10,en pareja,10,10,10
20/08/2022,10,con amigos,10,10,10
24/10/2022,10,en pareja,10,10,10
04/01/2023,10,en pareja,10,10,10
27/08/2022,10,en pareja,10,10,10
03/11/2022,10,en pareja,10,10,10
27/08/2022,10,en pareja,10,10,10
11/12/2022,10,con amigos,10,10,10
13/10/2022,10,con amigos,10,10,10
02/10/2022,10,con amigos,10,10,10
05/02/2023,10,en pareja,10,10,10
01/10/2022,10,con amigos,10,10,10
15/09/2022,10,en pareja,10,10,10
23/09/2022,10,solo,10,10,10
15/09/2022,10,con amigos,10,10,10
25/08/2022,9.1,con amigos,10,7.5,10
25/10/2022,10,en familia,10,10,10
13/10/2022,9.1,con amigos,7.5,10,10
24/09/2022,10,en pareja,10,10,10
25/09/2022,9.1,en pareja,10,7.5,10
18/09/2022,10,en pareja,10,10,10
12/09/2022,10,en pareja,10,10,10
28/12/2022,9.1,en familia,7.5,10,10
16/12/2022,10,en pareja,10,10,10
30/11/2022,10,en pareja,10,10,10
04/09/2022,10,en pareja,10,10,10
19/08/2022,10,en pareja,10,10,10
16/12/2022,10,en pareja,10,10,10
30/11/2022,10,en pareja,10,10,10
17/10/2022,10,en pareja,10,10,10
13/10/2022,10,en pareja,10,10,10
28/12/2022,10,en pareja,10,10,10
28/12/2022,9.1,en familia,10,7.5,10
18/12/2022,10,en pareja,10,10,10
22/01/2023,10,en pareja,10,10,10
23/08/2022,10,en pareja,10,10,10
29/08/2022,9.1,en pareja,10,7.5,10
09/12/2022,10,en pareja,10,10,10
28/12/2022,10,en pareja,10,10,10
