local,direccion,tipo_local,valoracion_google,numero_reseñas_google,enlace_web,coordenadas
Teatro Príncipe Gran Vía,"C. de las Tres Cruces, 8, 28013 Madrid",teatro,4.2,2601,http://www.teatroprincipegranvia.es/,"(40.4195185, -3.7026612)"
El Golfo Comedy Club,"C. de las Huertas, 57, 28014 Madrid",club de comedia,4.7,1082,https://elgolfocomedy.com/,"(40.41328525, -3.6964122018327306)"
Teatro Arlequín Gran Vía,"C. de San Bernardo, 5, 28013 Madrid",teatro,4.2,5264,http://teatroarlequingranvia.com/,"(40.4211706, -3.7082023)"
Teatro Capitol Gran Vía,"C/ Gran Vía, 41, 28013 Madrid",teatro,4.2,4902,http://www.capitolgranvia.com/,"(40.4683282, -3.8707172)"
Estación Malasaña,"C. del Pez, 16, 28004 Madrid",bar,4.5,344,https://www.estacionmalasana.es/,"(40.4236731, -3.7051859)"
Teatro Alcázar,"C. de Alcalá, 20, 28014 Madrid",teatro,4.3,6730,https://gruposmedia.com/teatro-alcazar/,"(40.41762175, -3.6989692917634684)"
Cinesa Fuencarral,"Calle de Fuencarral, 136, 28010 Madrid",cine,4.2,6918,http://www.cinesa.es/Cines/Proyecciones,"(40.4315549, -3.7029393365099326)"
El Sombrerero Comedy Club,"C. de Trafalgar, 15, 28010 Madrid",club de comedia,4.5,4,,"(40.4317969, -3.7008063)"
Teatro de las Aguas,"C. de las Aguas, 8, 28005 Madrid",teatro,4.2,1848,http://www.teatrodelasaguas.com/,"(40.410900600000005, -3.712216945685541)"
Abonavida,"C. de las Navas de Tolosa, 3, 28013 Madrid",bar,4.3,1274,http://www.abonavida.com/,"(40.4191439, -3.7065685)"
Beer Station,"Cuesta de Sto. Domingo, 22, 28013 Madrid",bar,4.4,3382,http://www.beerstation.com/,"(40.4197052, -3.7085243)"
Teatros Luchana,"C. de Luchana, 38, 28010 Madrid",teatro,4.5,3371,https://teatrosluchana.es/,"(40.4318686, -3.6982529)"
Pequeño Teatro Gran Vía de Madrid,"C/ Gran Vía, 66, 28013 Madrid",teatro,4.5,1975,https://entradas.gruposmedia.com/entradas/es/entradas-teatro-esto-es-un-chistako-david-cesar,"(40.4683282, -3.8707172)"
The Mun,"C. de Tomás Bretón, 20, 28045 Madrid",espacios variados,4.9,31,http://www.themun.es/,"(40.3973457, -3.6938624)"
Gran teatro Caixabank Príncipe Pío,"Cta. de San Vicente, 44, 28008 Madrid",teatro,4.4,8021,http://laestacion.com/,"(40.4208539, -3.7187511)"
Estupenda Bar,"C. de San Roque, 14, 28004 Madrid",bar,4.2,1047,https://instagram.com/estupendacafebar?utm_source=ig_profile_share&igshid=9bjr3pe5tx5g,"(40.4225962, -3.7046498)"
Teatro Chocita del Loro - Avenida Brasil,"Av. de Brasil, 17, 28020 Madrid",teatro,4.4,982,http://www.lachocitadelloro.com/,"(40.4539019, -3.6933714)"
