nombre_show,tipo_show,precio,duracion,local,nota_atrapalo,numero_opiniones,tipo_local,valoracion_google,numero_reseñas_google,coordenadas
Monólogos en la Chocita del Loro Carabanchel,show,10.0,80.0,Teatro Chocita del Loro - Carabanchel,8.9,5208.0,teatro,4.5,1440.0,"(40.3875982, -3.7436175)"
Ladys Night en Beer Station,show,11.0,70.0,Beer Station,9.4,89.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Los Monólogos de El Golfo Comedy Club en Madrid,cuenta_local,5.0,95.0,El Golfo Comedy Club,8.9,1656.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
El Dojo Comedia,open_mic,8.0,70.0,El Golfo Comedy Club,9.6,150.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Chic  Comedy - Monólogos,open_mic,3.5,80.0,Estupenda Bar,9.0,194.0,bar,4.2,1047.0,"(40.4225962, -3.7046498)"
Noches de Comedia - Monólogos en Madrid,cuenta_local,6.0,75.0,El Sombrerero Comedy Club,9.5,901.0,club de comedia,4.5,4.0,"(40.4317969, -3.7008063)"
Los Monólogos del Teatro de las Aguas,cuenta_local,5.0,60.0,Teatro de las Aguas,9.5,885.0,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
Punch Comedy English.- Stand up Comedy in English,open_mic,7.0,90.0,El Golfo Comedy Club,9.3,26.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Comedy Rally,open_mic,7.0,90.0,Estación Malasaña,9.1,73.0,bar,4.5,344.0,"(40.4236731, -3.7051859)"
"Comedy Nights, monólogos en Beer Station",cuenta_local,8.0,80.0,Beer Station,9.0,778.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Probando material,open_mic,7.0,95.0,El Golfo Comedy Club,8.3,12.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Stand Up en el momento,open_mic,5.0,70.0,El Golfo Comedy Club,9.2,9.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Jaja Party - Presentado por Javi Durán,open_mic,8.0,60.0,Beer Station,8.5,6.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
La Hora y Media de El Club de la Comedia Madrid,show,22.0,90.0,Teatro Príncipe Gran Vía,8.7,3930.0,teatro,4.2,2601.0,"(40.4195185, -3.7026612)"
